word,segmented,morphemes,types,glosses,grammatical_category
bịa,bia,bia,root,come,Present Tense
ịbịa,i-bia,i|bia,prefix|root,to come,Infinitive
bịara,bia-ra,bia|ra,root|infl_suffix,came,Past Tense
na-bịa,na-bia,na|bia,aux|root,is coming,Progressive Aspect
bịala,bia-la,bia|la,root|infl_suffix,has come,Perfect
abịaghị,a-bia-ghi,a|bia|ghi,prefix|root|infl_suffix,did not come,Negative
bịachara,bia-cha-ra,bia|cha|ra,root|ext_suffix|infl_suffix,all came,Exhaustive Past
bịaghachi,bia-ghachi,bia|ghachi,root|ext_suffix,come back,Repetitive Present
bịaghachiri,bia-ghachi-ri,bia|ghachi|ri,root|ext_suffix|infl_suffix,has come back,Perfect
ibiaghachi,i-bia-ghachi,i|bia|ghachi,prefix|root|ext_suffix,to come back,Infinitive Repetitive
iri,i-ri,i|ri,prefix|root,to eat,Infinitive
rie,ri-e,ri|e,root|imp_suffix,eat,Present Tense
riri,ri-ri,ri|ri,root|infl_suffix,ate,Past Tense
na-eri,na-e-ri,na|e|ri,aux|bound_prefix|root,is eating,Progressive Aspect
rila,ri-la,ri|la,root|infl_suffix,has eaten,Perfect
erighị,e-ri-ghi,e|ri|ghi,prefix|root|infl_suffix,did not eat,Negative
rijuru,ri-ju-ru,ri|ju|ru,root|ext_suffix|infl_suffix,ate to satisfaction,Perfective
richa,ri-cha,ri|cha,root|ext_suffix,ate completely,Exhaustive Past
richara,ri-cha,ri|cha,root|ext_suffix,has eaten completely,Perfect
ije,i-je,i|je,prefix|root,to go,Infinitive
je,je,je,root,go,Present Tense
jere,je-re,je|re,root|infl_suffix,went,Past Tense
na-eje,na-e-je,na|e|je,aux|bound_prefix|root,is going,Progressive Aspect
jela,je-la,je|la,root|infl_suffix,has gone,Perfect
ejeghị,e-je-ghi,e|je|ghi,prefix|root|infl_suffix,did not go,Negative
jegidere,je-gide-re,je|gide|re,root|ext_suffix|infl_suffix,kept going,Repetitive Past
jewere,je-we-re,je|we|re,root|ext_suffix|infl_suffix,started going,Present Tense
ịhụ,i-hụ,i|hụ,prefix|root,to see,Infinitive
hụ,hụ,hụ,root,see,Present Tense
hụrụ,hụ-ru,hụ|ru,root|infl_suffix,saw,Past Tense
na-ahụ,na-a-hụ,na|a|hụ,aux|bound_prefix|root,is seeing,Progressive Aspect
hụla,hụ-la,hụ|la,root|infl_suffix,has seen,Perfect
ahụghị,a-hụ-ghi,a|hụ|ghi,bound_prefix|root|infl_suffix,did not see,Negative
hụchara,hụ-cha-ra,hụ|cha|ra,root|ext_suffix|infl_suffix,saw everything,Present Tense
hụtara,hụ-ta-ra,hụ|ta|ra,root|ext_suffix|infl_suffix,caught sight of,Present Tense
ịgụ,i-gu,i|gu,prefix|root,to read / count,Infinitive
gụọ,gu-ọ,gu|ọ,root|imp_suffix,read!,Imperative
gụrụ,gu,gu,root,read (past),Present Tense
na-agụ,na-a-gu,na|a|gu,aux|bound_prefix|root,is reading,Progressive Aspect
gụla,gu,gu,root,has read,Present Tense
agụghị,a-gu,a|gu,bound_prefix|root,did not read,Negative
gụchara,gu-cha,gu|cha,root|ext_suffix,finished reading,Present Tense
gụgharị,gu-gharị,gu|gharị,root|ext_suffix,read again,Repetitive Past
gụgharịrị,gu-gharị-rị,gu|gharị|rị,root|ext_suffix|infl_suffix,read again,Repetitive Past
ide,i-de,i|de,prefix|root,to write,Infinitive
dee,de-e,de|e,root|imp_suffix,write!,Imperative
dere,de-re,de|re,root|infl_suffix,wrote,Past Tense
na-ede,na-e-de,na|e|de,aux|bound_prefix|root,is writing,Progressive Aspect
dela,de-la,de|la,root|infl_suffix,has written,Perfect
edeghị,e-de-ghi,e|de|ghi,bound_prefix|root|infl_suffix,did not write,Negative
dechara,de-cha-ra,de|cha|ra,root|ext_suffix|infl_suffix,finished writing,Present Tense
dekọta,de-kọta,de|kọta,root|ext_suffix,write together,Present Tense
dekọtara,de-kọta-ra,de|kọta|ra,root|ext_suffix|infl_suffix,wrote together,Present Tense
deghachi,de-ghachi,de|ghachi,root|ext_suffix,re-write,Present Tense
ikwu,i-kwu,i|kwu,prefix|root,to speak,Infinitive
kwuo,kwu-o,kwu|o,root|imp_suffix,speak!,Imperative
kwuru,kwu-ru,kwu|ru,root|infl_suffix,spoke,Past Tense
na-ekwu,na-e-kwu,na|e|kwu,aux|bound_prefix|root,is speaking,Progressive Aspect
kwula,kwu-la,kwu|la,root|infl_suffix,has spoken,Perfect
ekwughị,e-kwu-ghi,e|kwu|ghi,bound_prefix|root|infl_suffix,did not speak,Negative
kwughachi,kwu-ghachi,kwu|ghachi,root|ext_suffix,repeat,Present Tense
kwupụta,kwu-puta,kwu|puta,root|ext_suffix,speak out,Present Tense
kwupụtara,kwu-puta-ra,kwu|puta|ra,root|ext_suffix|infl_suffix,spoke out,Present Tense
ime,i-me,i|me,prefix|root,to do,Infinitive
mee,me-e,me|e,root|imp_suffix,do it,Present Tense
mere,me-re,me|re,root|infl_suffix,did,Past Tense
na-eme,na-e-me,na|e|me,aux|bound_prefix|root,is doing,Progressive Aspect
mela,me-la,me|la,root|infl_suffix,has done,Perfect
emeghị,e-me-ghi,e|me|ghi,bound_prefix|root|infl_suffix,did not do,Negative
mecha,me-cha,me|cha,root|ext_suffix,finish,Present Tense
mechara,me-cha-ra,me|cha|ra,root|ext_suffix|infl_suffix,has finished,Past Tense
mebi,me-bi,me|bi,root|ext_suffix,spoil,Present Tense
mebiri,me-bi-ri,me|bi|ri,root|ext_suffix|infl_suffix,has spoilt,Perfect
ịmụ,mụ,mụ,root,to learn,Infinitive
mụọ,mụ-ọ,mụ|ọ,root|imp_suffix,learn,Present Tense
mụrụ,mụ,mụ,root,learned,Present Tense
na-amụ,na-a-mụ,na|a|mụ,aux|bound_prefix|root,is learning,Progressive Aspect
mụọla,mụ-ọ-la,mụ|ọ|la,root|imp_suffix|infl_suffix,has learned,Past Tense
amụghị,a-mụ-ghi,a|mụ|ghi,bound_prefix|root|infl_suffix,did not learn,Negative
mụgharịrị,mụ-gharị-rị,mụ|gharị|rị,root|ext_suffix|infl_suffix,relearned,Past Tense
mụtara,mụ-ta-ra,mụ|ta|ra,root|ext_suffix|infl_suffix,acquired knowledge,Present Tense
ịzụ,ị-zụ,ị|zụ,prefix|root,to buy,Infinitive
zụọ,zụ-ọ,zụ|ọ,root|imp_suffix,buy!,Imperative
zụrụ,zụ-rụ,zụ|rụ,root|infl_suffix,bought,Past Tense
na-azụ,na-a-zụ,na|a|zụ,aux|bound_prefix|root,is buying,Progressive Aspect
zụla,zụ-la,zụ|la,root|infl_suffix,has bought,Perfect
azụghị,a-zụ-ghi,a|zụ|ghi,bound_prefix|root|infl_suffix,did not buy,Negative
zụchara,zụ-cha-ra,zụ|cha|ra,root|ext_suffix|infl_suffix,bought everything,Present Tense
zụkọtara,zụ-kọta-ra,zụ|kọta|ra,root|ext_suffix|infl_suffix,accumulated via buying,Present Tense
inye,i-nye,i|nye,prefix|root,to give,Infinitive
nyee,nye-e,nye|e,root|imp_suffix,give!,Imperative
nyere,nye-re,nye|re,root|infl_suffix,gave,Past Tense
na-enye,na-e-nye,na|e|nye,aux|bound_prefix|root,is giving,Progressive Aspect
nyela,nye-la,nye|la,root|infl_suffix,has given,Perfect
enyeghị,e-nye-ghi,e|nye|ghi,bound_prefix|root|infl_suffix,did not give,Negative
iche,i-che,i|che,prefix|root,to think / wait,Infinitive
chee,che-e,che|e,root|imp_suffix,think!,Imperative
chere,che-re,che|re,root|infl_suffix,waited / thought,Present Tense
na-eche,na-e-che,na|e|che,aux|bound_prefix|root,is waiting / thinking,Progressive Aspect
chela,che-la,che|la,root|infl_suffix,has waited,Past Tense
echeghị,e-che-ghi,e|che|ghi,bound_prefix|root|infl_suffix,did not wait,Negative
ibu,i-bu,i|bu,prefix|root,to carry,Infinitive
buru,bu-ru,bu|ru,root|infl_suffix,carry,Present Tense
ga-ebu,ga-e-bu,ga|e|bu,aux|bound_prefix|root,will carry,Future Tense
ebubeghị,e-bu-be-ghi,e|bu|be|ghi,bound_prefix|root|ext_suffix|infl_suffix,has not yet carried,Negative
bukwala,bu-kwa-la,bu|kwa|la,root|ext_suffix|infl_suffix,do not carry!,Imperative
buwere,bu-we-re,bu|we|re,root|ext_suffix|infl_suffix,started carrying,Present Tense
burịrị,bu-riri,bu|riri,root|ext_suffix,definitely carried,Past Tense
butere,bu-te-re,bu|te|re,root|ext_suffix|infl_suffix,carried towards / brought,Present Tense
igbu,i-gbu,i|gbu,prefix|root,to kill / cut,Infinitive
ga-egbu,ga-e-gbu,ga|e|gbu,aux|bound_prefix|root,will kill,Future Tense
egbubeghị,e-gbu-be-ghi,e|gbu|be|ghi,bound_prefix|root|ext_suffix|infl_suffix,has not yet killed,Negative
gbukwala,gbu-kwa-la,gbu|kwa|la,root|ext_suffix|infl_suffix,do not kill!,Imperative
gbuwere,gbu-we-re,gbu|we|re,root|ext_suffix|infl_suffix,started killing,Present Tense
gburịtara,gbu-rita-la,gbu|rita|la,root|ext_suffix|infl_suffix,killed each other,Present Tense
gburịrị,gbu-riri,gbu|riri,root|ext_suffix,definitely killed,Past Tense
gbutere,gbu-te-re,gbu|te|re,root|ext_suffix|infl_suffix,killed and brought,Present Tense
ike,i-ke,i|ke,prefix|root,to tie / share,Infinitive
ga-eke,ga-e-ke,ga|e|ke,aux|bound_prefix|root,will tie,Future Tense
na-eke,na-e-ke,na|e|ke,aux|bound_prefix|root,is tying,Progressive Aspect
ekebeghị,e-ke-be-ghi,e|ke|be|ghi,bound_prefix|root|ext_suffix|infl_suffix,has not yet tied,Negative
kekwala,ke-kwa-la,ke|kwa|la,root|ext_suffix|infl_suffix,do not tie!,Imperative
kewere,ke-we-la,ke|we|la,root|ext_suffix|infl_suffix,started tying,Present Tense
kerịtara,ke-rita-ra,ke|rita|ra,root|ext_suffix|infl_suffix,tied each other / shared,Past Tense
kerịrị,ke-riri,ke|riri,root|ext_suffix,definitely tied,Past Tense
ketere,ke-te-re,ke|te|re,root|ext_suffix|infl_suffix,tied successfully / received,Past Tense
ikpe,i-kpe,i|kpe,prefix|root,to judge / plead,Infinitive
ga-ekpe,ga-e-kpe,ga|e|kpe,aux|bound_prefix|root,will judge,Future Tense
ekpebeghị,e-kpe-be-ghi,e|kpe|be|ghi,bound_prefix|root|ext_suffix|infl_suffix,has not yet judged,Negative
kpekwala,kpe-kwa-la,kpe|kwa|la,root|ext_suffix|infl_suffix,do not judge!,Imperative
kpewere,kpe-we-re,kpe|we|re,root|ext_suffix|infl_suffix,started judging,Present Tense
kperịtara,kpe-rita-ra,kpe|rita|ra,root|ext_suffix|infl_suffix,judged each other,Present Tense
kperịrị,kpe-riri,kpe|riri,root|ext_suffix,definitely judged,Past Tense
kpetere,kpe-te-re,kpe|te|re,root|ext_suffix|infl_suffix,won a judgment / obtained,Past Tense
ise,i-se,i|se,prefix|root,to pull / draw,Infinitive
ga-ese,ga-e-se,ga|e|se,aux|bound_prefix|root,will pull,Future Tense
esebeghị,e-se-be-ghi,e|se|be|ghi,bound_prefix|root|ext_suffix|infl_suffix,has not yet pulled,Negative
sekwala,se-kwa-la,se|kwa|la,root|ext_suffix|infl_suffix,do not pull!,Imperative
sewere,se-we-re,se|we|re,root|ext_suffix|infl_suffix,started pulling,Present Tense
serịtara,se-rita-ra,se|rita|ra,root|ext_suffix|infl_suffix,pulled each other,Present Tense
serịrị,se-riri,se|riri,root|ext_suffix,definitely pulled,Past Tense
setere,se-te-re,se|te|re,root|ext_suffix|infl_suffix,pulled towards,Present Tense
ite,i-te,i|te,prefix|root,to rub,Infinitive
ga-ete,ga-te,ga|te,aux|root,will rub,Future Tense
etebeghị,e-te-be-ghi,e|te|be|ghi,bound_prefix|root|ext_suffix|infl_suffix,has not yet rubbed,Negative
tekwala,te-kwa-la,te|kwa|la,root|ext_suffix|infl_suffix,do not rub!,Imperative
tewere,te-we-re,te|we|re,root|ext_suffix|infl_suffix,started rubbing,Present Tense
terịtara,te-rita-ra,te|rita|ra,root|ext_suffix|infl_suffix,rubbed each other,Present Tense
terịrị,te-riri,te|riri,root|ext_suffix,definitely rubbed,Past Tense
iti,i-ti,i|ti,prefix|root,to strike / shout,Infinitive
tie,i-ti-e,i|ti|e,prefix|root|imp_suffix,to strike / shout,Infinitive
ga-eti,ga-e-ti,ga|e|ti,aux|bound_prefix|root,will strike,Future Tense
etibeghị,e-ti-be-ghi,e|ti|be|ghi,bound_prefix|root|ext_suffix|infl_suffix,has not yet struck,Negative
tikwala,ti-kwa-la,ti|kwa|la,root|ext_suffix|infl_suffix,do not strike!,Imperative
tiwere,ti-we-re,ti|we|re,root|ext_suffix|infl_suffix,started striking,Present Tense
tirịtara,ti-rita-ra,ti|rita|ra,root|ext_suffix|infl_suffix,struck each other,Present Tense
tirịrị,ti-riri,ti|riri,root|ext_suffix,definitely struck,Present Tense
titere,ti-te-re,ti|te|re,root|ext_suffix|infl_suffix,struck successfully,Present Tense
izu,i-zu,i|zu,prefix|root,to steal,Infinitive
ga-ezu,ga-e-zu,ga|e|zu,aux|bound_prefix|root,will steal,Future Tense
ezubeghị,e-zu-be-ghi,e|zu|be|ghi,bound_prefix|root|ext_suffix|infl_suffix,has not yet stolen,Negative
zukwala,zu-kwa-la,zu|kwa|la,root|ext_suffix|infl_suffix,do not steal!,Imperative
zuwere,zu-we-re,zu|we|re,root|ext_suffix|infl_suffix,started stealing,Present Tense
zurịtara,zu-rita-ra,zu|rita|ra,root|ext_suffix|infl_suffix,stole from each other,Present Tense
zurịrị,zu-riri,zu|riri,root|ext_suffix,definitely stole,Present Tense
zutere,zu-te-re,zu|te|re,root|ext_suffix|infl_suffix,stole and brought,Present Tense
iru,i-ru,i|ru,prefix|root,to reach,Infinitive
ga-eru,ga-e-ru,ga|e|ru,aux|bound_prefix|root,will reach,Future Tense
erubeghị,e-ru-be-ghi,e|ru|be|ghi,bound_prefix|root|ext_suffix|infl_suffix,has not yet reached,Negative
rukwala,ru-kwa-la,ru|kwa|la,root|ext_suffix|infl_suffix,do not reach,Present Tense
ruwere,ru-we-re,ru|we|re,root|ext_suffix|infl_suffix,started reaching,Present Tense
rurịtara,ru-rita-ra,ru|rita|ra,root|ext_suffix|infl_suffix,reached each other,Present Tense
rurịrị,ru-riri,ru|riri,root|ext_suffix,definitely reached,Past Tense
rutere,ru-te-re,ru|te|re,root|ext_suffix|infl_suffix,arrived,Past Tense
ikwe,i-kwe,i|kwe,prefix|root,to agree,Infinitive
